WAVE FLUX
1000.04 1.005760012801074e+38
1000.53 5.43001183156693e+37
1001.02 2.581704911079248e+37
1001.51 9.407664938665253e+37
1002.01 6.358205296721802e+37
1002.5 5.809230512333673e+37
1002.99 6.192586654092701e+37
1003.48 1.0016707589669517e+38
1003.97 9.486091763374148e+37
1004.46 9.976749557731555e+37
1004.96 9.903488949239463e+37
1005.45 3.583924147487238e+37
1005.94 2.138744101937022e+37
1006.43 9.132049756384203e+37
1006.93 3.527809079340255e+37
1007.42 9.698249832179986e+37
1007.92 8.12866079606112e+37
1008.41 8.305124555109051e+37
1008.91 3.5690334474638805e+37
1009.4 9.489790553264501e+37
1009.9 1.844887698030054e+37
1010.39 3.019915629544665e+37
1010.89 9.838909422102213e+37
1011.38 9.06485179478164e+37
1011.88 9.735801507443714e+37
1012.37 1.9387166156580572e+37
1012.87 4.014617661877928e+37
1013.37 9.655471212584415e+37
1013.86 9.505050149236137e+37
1014.36 9.6984550745986e+37
1014.86 8.778900607985983e+37
1015.36 9.625363400061626e+37
1015.85 6.472854507851364e+37
1016.35 4.656415454477032e+37
1016.85 9.494389222661964e+37
1017.35 4.842523932181029e+37
1017.85 8.030562296233004e+37
1018.35 1.5231741902534283e+37
1018.85 9.71275931664071e+37
1019.35 6.17753367327025e+37
1019.85 1.763141048420242e+37
1020.35 7.538560658982464e+37
1020.85 9.053974233494375e+37
1021.35 8.092999605910664e+37
1021.85 9.251224711899083e+37
1022.35 1.016923744561894e+38
1022.85 2.0434169624791872e+37
1023.35 1.0114747597023775e+38
1023.85 9.410280226474658e+37
1024.35 8.611712347238606e+37
1024.86 8.037545589156384e+37
1025.36 3.534185205627879e+37
1025.86 4.079853940499018e+36
1026.37 3.243447504905161e+37
1026.87 2.1582964106957744e+37
1027.37 6.816866093461783e+37
1027.88 7.6266770275291545e+37
1028.38 5.770825491396716e+37
1028.89 7.949822392441118e+37
1029.39 6.455337137738526e+37
1029.9 2.122498102350552e+37
1030.4 5.029418031668249e+37
1030.91 2.318649048045728e+37
1031.41 4.067844739790135e+37
1031.92 6.332432361766264e+37
1032.42 4.561197110788074e+37
1032.93 7.973957995876816e+37
1033.44 4.621026925995905e+37
1033.94 2.2526575751023e+37
1034.45 5.108679466163589e+37
1034.96 5.296531814904875e+37
1035.46 1.737987612934987e+37
1035.97 4.542746828839084e+37
1036.48 4.880786948316823e+37
1036.99 2.311269712751444e+37
1037.5 3.291628909520279e+37
1038.01 5.3987171058462485e+37
1038.51 9.589865252021422e+37
1039.02 8.179582713492691e+37
1039.53 5.724917845208348e+37
1040.04 6.933089986658763e+37
1040.55 6.692276630174538e+37
1041.06 1.0182640292494322e+38
1041.57 7.617744313235223e+37
1042.08 9.798325296623411e+37
1042.59 9.060387857397513e+37
1043.11 1.0228179478649365e+38
1043.62 1.0110955914898924e+38
1044.13 1.0175964207407913e+38
1044.64 9.183292197878716e+37
1045.15 8.234566005525663e+37
1045.67 9.283026634745452e+37
1046.18 8.507086738689981e+37
1046.69 9.812091926249014e+37
1047.2 9.792460758114014e+37
1047.72 1.0011948448890622e+38
1048.23 1.0097359011975224e+38
1048.75 1.0192330700806088e+38
1049.26 9.794486356221622e+37
1049.78 8.510524420337768e+37
1050.29 9.90634507743911e+37
1050.81 7.877294123196515e+37
1051.32 5.105675000557842e+37
1051.83 9.78878445779516e+37
1052.35 8.346046842208897e+37
1052.87 7.773065841968468e+37
1053.38 9.54984702992009e+37
1053.9 9.940240909828662e+37
1054.42 1.0043772911204316e+38
1054.93 1.0122072248573475e+38
1055.45 2.1513366739812003e+37
1055.97 8.376388499449104e+37
1056.49 9.800195229128241e+37
1057.01 9.865341610559662e+37
1057.52 6.459845892777578e+37
1058.04 9.946231027931524e+37
1058.56 4.485743294931345e+37
1059.08 6.455201160578638e+37
1059.6 9.81713211215149e+37
1060.12 5.364249662193055e+37
1060.64 8.472719383543123e+37
1061.16 1.8107819527257904e+37
1061.68 1.6331609513043842e+37
1062.2 6.129447279702428e+37
1062.72 2.0776057475552518e+37
1063.24 3.2202119761377606e+37
1063.76 9.696283018504002e+37
1064.28 7.3995550695284955e+37
1064.81 9.89081672197044e+37
1065.33 9.816608543932776e+37
1065.85 2.5412084785503426e+37
1066.37 7.976431196544925e+37
1066.9 9.992706725526448e+37
1067.42 7.019731050582324e+37
1067.94 6.642129108199853e+37
1068.47 7.917358640029852e+37
1068.99 1.8715704010563913e+37
1069.52 4.395296391952845e+37
1070.04 8.260627356646012e+37
1070.56 2.010237681200342e+37
1071.09 9.45296197053895e+37
1071.61 9.876687428781313e+37
1072.14 6.468607725432753e+37
1072.67 8.009212553815109e+37
1073.19 8.883042762554687e+37
1073.72 6.210545781523906e+37
1074.24 7.215903757412447e+37
1074.77 9.245869547920715e+37
1075.3 7.978555956593721e+37
1075.82 9.49410017447743e+37
1076.35 9.267217679174344e+37
1076.88 9.778549225109924e+37
1077.41 9.81881317645741e+37
1077.94 5.962701610303562e+37
1078.47 9.734791786658876e+37
1078.99 9.55395738623866e+37
1079.52 5.063559570034065e+37
1080.05 9.4882924233997e+37
1080.58 9.597314195062614e+37
1081.11 9.563808699124067e+37
1081.64 9.740955623189381e+37
1082.17 9.734906101376162e+37
1082.7 9.193512853802108e+37
1083.23 2.1831356826345796e+37
1083.77 7.627564283252906e+37
1084.3 8.525387942941264e+37
1084.83 3.754671509160342e+37
1085.36 7.923357793920897e+37
1085.89 7.6165116914003385e+37
1086.43 6.262227286873778e+37
1086.96 9.055756060437752e+37
1087.49 9.280900826145578e+37
1088.02 3.0913279275943077e+37
1088.56 7.368105895383998e+37
1089.09 1.9049336611821966e+37
1089.63 1.595069730037771e+37
1090.16 5.20490402883626e+37
1090.69 8.503061349908463e+37
1091.23 9.425267732830622e+37
1091.77 7.152726127090615e+37
1092.3 7.79906917339908e+37
1092.84 8.790826751076366e+37
1093.37 3.4167245192193916e+37
1093.91 9.821231879377545e+37
1094.44 9.30454797178292e+37
1094.98 9.865755213229582e+37
1095.52 1.991429411302594e+37
1096.06 6.531290850204067e+37
1096.59 1.592269162249651e+37
1097.13 9.615672314864734e+37
1097.67 1.7621478916499027e+37
1098.21 1.873374412687433e+37
1098.74 9.441482774433682e+37
1099.28 9.565143855975625e+37
1099.82 7.575169234574654e+37
1100.36 9.728428854440523e+37
1100.9 9.814374126178853e+37
1101.44 6.834268660281905e+37
1101.98 9.60021638072672e+37
1102.52 9.738891645764567e+37
1103.06 7.229322260345763e+37
1103.6 8.0700304777116715e+37
1104.15 2.283591192283301e+37
