WAVE FLUX
1000.04 6.621915203085529e+38
1000.53 6.4145898909666144e+38
1001.02 5.980040487397941e+38
1001.51 6.570664638002596e+38
1002.01 6.3506175635478706e+38
1002.5 6.322677545413716e+38
1002.99 6.431704093728552e+38
1003.48 6.611211119851789e+38
1003.97 6.596080469070863e+38
1004.46 6.610446779898968e+38
1004.96 6.602785001765465e+38
1005.45 6.259244559375426e+38
1005.94 4.2942431714561885e+38
1006.43 6.542162025249813e+38
1006.93 6.153999107121825e+38
1007.42 6.533591653067702e+38
1007.92 6.3001083071199685e+38
1008.41 6.516170980173216e+38
1008.91 6.2102401427709256e+38
1009.4 6.5257847853943185e+38
1009.9 3.952378834041262e+38
1010.39 3.1272515395335162e+38
1010.89 6.485426294784516e+38
1011.38 6.3152809447707585e+38
1011.88 6.443150622032284e+38
1012.37 5.435785728235222e+38
1012.87 5.7858588300578166e+38
1013.37 6.4142116210550456e+38
1013.86 6.415598474543264e+38
1014.36 6.377530180259675e+38
1014.86 6.323213080042994e+38
1015.36 6.378419206956358e+38
1015.85 5.855402380992673e+38
1016.35 6.139766896777349e+38
1016.85 6.320143927890262e+38
1017.35 5.987865018651477e+38
1017.85 5.992347390972603e+38
1018.35 4.70015208732526e+38
1018.85 6.21851644678737e+38
1019.35 6.103256345179767e+38
1019.85 5.1019521732838104e+38
1020.35 6.069055413037314e+38
1020.85 6.135723358788917e+38
1021.35 5.720847695747035e+38
1021.85 6.0702272402597655e+38
1022.35 6.079942341934506e+38
1022.85 5.326892348988926e+38
1023.35 6.035153600687166e+38
1023.85 5.95528682787827e+38
1024.35 5.979942214802176e+38
1024.86 5.9428220203636e+38
1025.36 2.511695127898902e+38
1025.86 9.402017835106627e+37
1026.37 5.758861685585308e+38
1026.87 5.5795694933644815e+38
1027.37 5.731584276832574e+38
1027.88 5.7800301110864924e+38
1028.38 5.7039273889599854e+38
1028.89 5.692057786275265e+38
1029.39 5.589759000057175e+38
1029.9 5.0973950165938625e+38
1030.4 5.385821673431899e+38
1030.91 3.392712586757304e+38
1031.41 5.329674007443058e+38
1031.92 5.849727567309971e+38
1032.42 6.00563747867924e+38
1032.93 6.0563923512980076e+38
1033.44 5.6227508291857305e+38
1033.94 5.146620615211987e+38
1034.45 5.76695929445518e+38
1034.96 5.717044381038633e+38
1035.46 3.48140641706825e+38
1035.97 5.569283143942316e+38
1036.48 5.657229765544264e+38
1036.99 1.9765521821682224e+38
1037.5 5.322218476126843e+38
1038.01 5.704099062685616e+38
1038.51 6.230170196460185e+38
1039.02 6.102308610972491e+38
1039.53 5.8767656301153524e+38
1040.04 6.037574769130704e+38
1040.55 6.028046870191238e+38
1041.06 6.189145123881899e+38
1041.57 6.092347393392169e+38
1042.08 6.200812509857838e+38
1042.59 6.192592297072303e+38
1043.11 6.2268409261812064e+38
1043.62 6.2342118088399745e+38
1044.13 6.246910493410235e+38
1044.64 6.2453813343206704e+38
1045.15 6.220317980274862e+38
1045.67 6.237457526543332e+38
1046.18 6.2174331031582804e+38
1046.69 6.2310981015224554e+38
1047.2 6.227274418424913e+38
1047.72 6.226626356884456e+38
1048.23 6.189935391040293e+38
1048.75 6.221008721864564e+38
1049.26 6.2094625986634325e+38
1049.78 6.1433973041093594e+38
1050.29 6.150659756311126e+38
1050.81 6.154973447271738e+38
1051.32 6.013525812872937e+38
1051.83 6.174362499657694e+38
1052.35 6.134037752318098e+38
1052.87 6.098327052721543e+38
1053.38 6.154226822490293e+38
1053.9 6.154569207884556e+38
1054.42 6.151227181611709e+38
1054.93 6.149140229711277e+38
1055.45 5.325352967787239e+38
1055.97 6.069212535013459e+38
1056.49 6.120067898376088e+38
1057.01 6.082611535925726e+38
1057.52 5.991732971290469e+38
1058.04 6.091106394277681e+38
1058.56 5.863674679286694e+38
1059.08 5.940917151147923e+38
1059.6 6.034024530464049e+38
1060.12 5.788294158502386e+38
1060.64 5.98141675309525e+38
1061.16 5.0819159599813105e+38
1061.68 4.39036716630374e+38
1062.2 5.927808317334803e+38
1062.72 1.5857598173969868e+38
1063.24 5.578412339551822e+38
1063.76 5.9808617558216436e+38
1064.28 5.907542604699842e+38
1064.81 5.9358280557127744e+38
1065.33 5.9631303650000845e+38
1065.85 5.343640625674944e+38
1066.37 5.9145285065722255e+38
1066.9 5.961346465451451e+38
1067.42 5.88311236454601e+38
1067.94 5.822236878840516e+38
1068.47 5.9126741148080405e+38
1068.99 4.416991509558895e+38
1069.52 5.72533006228491e+38
1070.04 5.890376356724606e+38
1070.56 4.8254243075080016e+38
1071.09 5.905399876026643e+38
1071.61 5.8758630943283975e+38
1072.14 5.7088070380645046e+38
1072.67 5.72913432758961e+38
1073.19 5.674939084652482e+38
1073.72 5.565763367775098e+38
1074.24 5.694909566333187e+38
1074.77 5.784292667122772e+38
1075.3 5.818132822616436e+38
1075.82 5.909021463767257e+38
1076.35 5.892082693483843e+38
1076.88 5.875191750758531e+38
1077.41 5.8876936359433154e+38
1077.94 5.440618925544871e+38
1078.47 5.8674764949254864e+38
1078.99 5.835431542359045e+38
1079.52 5.6909651059545204e+38
1080.05 5.828661217336756e+38
1080.58 5.817168587221616e+38
1081.11 5.800753806086666e+38
1081.64 5.784251442270815e+38
1082.17 5.7790950832029e+38
1082.7 5.750325951435748e+38
1083.23 5.180659301955114e+38
1083.77 5.660814406369882e+38
1084.3 5.693789122571436e+38
1084.83 5.1082693299271895e+38
1085.36 5.683503640399263e+38
1085.89 5.674511033106085e+38
1086.43 5.6373118028433636e+38
1086.96 5.7095811713346716e+38
1087.49 5.706323561703816e+38
1088.02 5.359551920010919e+38
1088.56 5.650825249856951e+38
1089.09 4.874205765978633e+38
1089.63 4.578857678709692e+38
1090.16 5.5996259844398975e+38
1090.69 5.7145342847255536e+38
1091.23 5.7080000202133756e+38
1091.77 5.686657009500716e+38
1092.3 5.7016256149006875e+38
1092.84 5.7263996850870936e+38
1093.37 5.436172299215968e+38
1093.91 5.758456166600556e+38
1094.44 5.75131977700158e+38
1094.98 5.7447384339693896e+38
1095.52 5.139997989445359e+38
1096.06 5.6642913586352765e+38
1096.59 4.267434085386877e+38
1097.13 5.726632970926102e+38
1097.67 4.48292860896892e+38
1098.21 4.839430328771417e+38
1098.74 5.705389089137321e+38
1099.28 5.696493144662139e+38
1099.82 5.657177908921596e+38
1100.36 5.680440831043828e+38
1100.9 5.677199948259349e+38
1101.44 5.576815616076756e+38
1101.98 5.654683834434939e+38
1102.52 5.64716289684601e+38
1103.06 5.5451366052430764e+38
1103.6 5.6155736789719985e+38
1104.15 5.0056131843563354e+38
1104.69 5.600787013393931e+38
1105.23 5.61152336749941e+38
1105.77 5.575353905652146e+38
1106.31 5.602399197220471e+38
1106.85 5.57539457867321e+38
1107.4 5.5470034492331765e+38
1107.94 4.623489602650051e+38
1108.48 3.576689842024513e+38
1109.03 5.543753923493864e+38
1109.57 5.566795055393661e+38
1110.11 5.520983736224942e+38
1110.66 5.539989826494841e+38
1111.2 5.493006269881977e+38
1111.75 5.5202975182128334e+38
1112.29 5.447578598931543e+38
1112.84 5.528735150973385e+38
1113.39 5.5327113350223574e+38
1113.93 5.518726492449125e+38
1114.48 5.515323461869927e+38
1115.02 5.466026593374103e+38
1115.57 5.471340566515367e+38
1116.12 5.4120986218766796e+38
1116.67 5.227783582800579e+38
1117.21 5.4080181283070635e+38
1117.76 5.470410650544433e+38
1118.31 5.44103681744764e+38
1118.86 5.467305547241624e+38
1119.41 5.133871240066026e+38
1119.95 5.4527456923562225e+38
1120.5 5.4419777508794265e+38
1121.05 5.3851552225471944e+38
1121.6 5.41052783604782e+38
1122.15 5.416652704691972e+38
1122.7 5.409688923041285e+38
1123.25 5.358010239028453e+38
1123.8 2.2647211289404256e+38
1124.36 5.229102602346519e+38
1124.91 3.2735444835434013e+38
1125.46 5.2376837975061096e+38
1126.01 5.295052270062578e+38
1126.56 5.283250137194686e+38
1127.11 5.339271934025748e+38
1127.67 5.32272637516577e+38
1128.22 2.5469176305480168e+38
1128.77 3.1215162826146895e+38
1129.33 5.306125771539501e+38
1129.88 5.168900073337085e+38
1130.44 3.563362138573609e+38
1130.99 5.308849935664103e+38
1131.54 5.3703288944674185e+38
1132.1 5.370720407170338e+38
1132.65 5.368498927644618e+38
1133.21 5.368023655337149e+38
1133.77 5.35581929940093e+38
1134.32 5.297318434704849e+38
1134.88 5.264382848099568e+38
1135.43 5.346597884654513e+38
1135.99 5.355361573061307e+38
1136.55 5.3354372760372834e+38
1137.1 5.3090878761557435e+38
1137.66 5.32796085398808e+38
1138.22 5.3204955183276935e+38
1138.78 5.3041168512248965e+38
1139.34 4.089912621133079e+38
1139.9 4.648201229565673e+38
1140.45 5.233286287607428e+38
1141.01 5.28488177562337e+38
1141.57 3.592989968116671e+38
1142.13 5.268860231533182e+38
1142.69 5.267048250397117e+38
1143.25 5.2286294054671855e+38
1143.81 5.238637779171965e+38
1144.38 4.5548080890101945e+38
1144.94 4.1227830590896605e+38
1145.5 5.2356526691803235e+38
1146.06 5.231920288742556e+38
1146.62 5.225181192626438e+38
1147.18 5.213645966823596e+38
1147.75 5.2196684354944565e+38
1148.31 5.174912240190052e+38
1148.87 5.196644494382295e+38
1149.44 5.209478147201946e+38
1150.0 5.167067437631188e+38
1150.0 5.167067437631188e+38
1150.3 5.1785903635290686e+38
1150.6 5.1988701746763714e+38
1150.89 4.9709011181441046e+38
1151.19 5.109783590572098e+38
1151.49 5.1972053270804196e+38
1151.79 5.1911936161015945e+38
1152.09 5.145345756380498e+38
1152.39 5.1719210292963596e+38
1152.69 5.119165740674473e+38
1152.98 5.16065989164339e+38
1153.28 5.129352120708742e+38
1153.58 5.107869270868552e+38
1153.88 5.0629893988113655e+38
1154.18 5.0967607441845636e+38
1154.48 5.142821617337308e+38
1154.78 5.136870992539272e+38
1155.08 5.079790970997175e+38
1155.38 5.092171351559779e+38
1155.68 5.134641909808535e+38
1155.98 4.435446017216819e+38
1156.28 5.126894954006468e+38
1156.57 5.098944542179269e+38
1156.88 5.1111498700678015e+38
1157.18 5.115000620949599e+38
1157.47 5.103657426744824e+38
1157.78 5.096356440396208e+38
1158.07 4.179993342952252e+38
1158.38 5.097812266436553e+38
1158.68 5.103296911156611e+38
1158.97 5.0538993325043935e+38
1159.28 5.10381339534596e+38
1159.58 4.99817824571269e+38
1159.88 5.125764833271207e+38
1160.18 5.0424964262519194e+38
1160.48 5.134669628337999e+38
1160.78 5.134751105649152e+38
1161.08 5.133295593172593e+38
1161.38 5.096630325544679e+38
1161.68 5.116346859919581e+38
1161.98 5.11006953559635e+38
1162.28 5.121340186413598e+38
1162.58 5.1244873422295315e+38
1162.89 5.119274709604279e+38
1163.19 4.812327818409394e+38
1163.49 5.099786062226739e+38
1163.79 4.8788638192776235e+38
1164.09 5.081540827876145e+38
1164.39 5.043268929499086e+38
1164.7 4.994822310494132e+38
1165.0 4.77119009341129e+38
1165.3 5.0525821327392475e+38
1165.6 4.8908014097016595e+38
1165.9 4.6099547266193646e+38
1166.21 5.051431836098145e+38
1166.51 5.049996740048739e+38
1166.81 4.54284253409115e+38
1167.11 5.050382295252166e+38
1167.42 4.870595099137905e+38
1167.72 5.0261861272437575e+38
1168.02 5.005011638495416e+38
1168.32 5.026684194383376e+38
1168.63 5.001373765979265e+38
1168.93 4.395474759269474e+38
1169.23 5.005209430207996e+38
1169.54 4.998847839232057e+38
1169.84 4.997886052524417e+38
1170.14 4.887905132535925e+38
1170.44 4.77627331955002e+38
1170.75 4.9590304102142465e+38
1171.05 4.02367730753534e+38
1171.35 4.9716380234897074e+38
1171.66 4.9134558057967535e+38
1171.96 4.482738248301306e+38
1172.27 4.9564519736926e+38
1172.57 4.928527661497208e+38
1172.87 4.8160776379661494e+38
1173.18 4.934475011052439e+38
1173.48 4.837680745671135e+38
1173.79 4.9081140686601384e+38
1174.09 4.8890093466063854e+38
1174.4 4.86674150089545e+38
1174.7 4.80800010683888e+38
1175.0 1.6513557508150694e+38
1175.31 1.8176405708566127e+38
1175.61 1.8671282587730125e+38
1175.92 1.6281390218621658e+38
1176.22 4.0585191448964984e+38
1176.53 4.516842017484247e+38
1176.83 4.7590578517581825e+38
1177.14 4.774393988622984e+38
1177.44 4.786789256986498e+38
1177.75 4.79050774669688e+38
1178.05 4.8145707108889824e+38
1178.36 4.774685573234976e+38
1178.66 4.89171075822952e+38
1178.97 4.8976522587441236e+38
1179.27 4.892647287122574e+38
1179.58 4.908751575822878e+38
1179.89 4.84359902489845e+38
1180.19 4.912969857898501e+38
1180.5 4.7922691094257214e+38
1180.8 4.840799378860382e+38
1181.11 4.916025774259952e+38
1181.42 4.804422612259792e+38
1181.72 4.8043766017538296e+38
1182.03 4.922821211280868e+38
1182.33 4.923340513264124e+38
1182.64 4.913340506198785e+38
1182.95 3.1097382525515116e+38
1183.25 4.892486108743219e+38
1183.56 4.90768345738366e+38
1183.87 4.8803780978535135e+38
1184.17 4.885051982265136e+38
1184.48 2.4391925483769687e+38
1184.79 4.5511690147693e+38
1185.09 4.930814208349683e+38
1185.4 4.6980267703513726e+38
1185.71 4.903569327496625e+38
1186.02 4.907034786253094e+38
1186.32 4.902806475525987e+38
1186.63 4.763010479172573e+38
1186.94 4.8740312266839995e+38
1187.25 4.87691360202446e+38
1187.56 4.8674533810764774e+38
1187.86 4.865162375204879e+38
1188.17 4.8580731227958855e+38
1188.48 4.838388527699738e+38
1188.79 4.841806357597033e+38
1189.09 4.8200650007781025e+38
1189.4 4.8202497495400395e+38
1189.71 4.8237653200598785e+38
1190.02 4.813298386929596e+38
1190.33 4.768803024243087e+38
1190.64 4.805913695270593e+38
1190.94 4.796134522216844e+38
1191.25 4.027150946214168e+38
1191.56 4.789988216844365e+38
1191.87 4.7516119549897476e+38
1192.18 4.775154986839383e+38
1192.49 4.763475787809173e+38
1192.8 4.73391479197517e+38
1193.11 4.648543458932112e+38
1193.42 4.7379812623453974e+38
1193.73 4.69245121993033e+38
1194.04 4.424316414028002e+38
1194.34 4.39573397679868e+38
1194.65 4.722563251421244e+38
1194.96 4.72034943432001e+38
1195.27 4.670684154547288e+38
1195.58 4.658615153851237e+38
1195.89 4.637385017765457e+38
1196.2 4.380860847782561e+38
1196.51 4.585489962582445e+38
1196.82 4.558290718657586e+38
1197.13 4.5306266754387696e+38
1197.44 4.492256231102815e+38
1197.75 4.543083785583297e+38
1198.06 4.5519444917597905e+38
1198.38 4.522455690256513e+38
1198.69 4.566153427671086e+38
1199.0 4.570952038653829e+38
1199.31 4.59275007819305e+38
1199.62 4.583623597669132e+38
1199.93 4.596370880373442e+38
1200.24 4.5423559869417674e+38
1200.55 4.55184279115804e+38
1200.86 4.3483383119541905e+38
1201.17 4.550817110213973e+38
1201.48 4.476776604543762e+38
1201.8 4.2880773488827396e+38
1202.11 3.0954844042731526e+38
1202.42 4.513096445804364e+38
1202.73 4.510561342747155e+38
