WAVE FLUX
1000.04 4.2120168936710364e+38
1000.53 4.010751698180563e+38
1001.02 3.629120661461499e+38
1001.51 4.143686553274558e+38
1002.01 4.026744977885047e+38
1002.5 3.952114765689663e+38
1002.99 3.997190987601397e+38
1003.48 4.2047499963486655e+38
1003.97 4.18760218063344e+38
1004.46 4.202721326389311e+38
1004.96 4.196019030683753e+38
1005.45 3.888056195487194e+38
1005.94 2.6631013565733676e+38
1006.43 4.1540569746677604e+38
1006.93 3.797598892911391e+38
1007.42 4.142131496817527e+38
1007.92 4.01596928693504e+38
1008.41 4.1277660468354664e+38
1008.91 3.851779941189104e+38
1009.4 4.1316737869886836e+38
1009.9 2.206594663314664e+38
1010.39 1.7602614780108493e+38
1010.89 4.102823780044208e+38
1011.38 3.998593146264318e+38
1011.88 4.0578241038329445e+38
1012.37 3.2068417832789343e+38
1012.87 3.588420858971217e+38
1013.37 4.039886402344e+38
1013.86 4.042064145840461e+38
1014.36 3.992444694038371e+38
1014.86 3.99084215760579e+38
1015.36 4.0300471720747305e+38
1015.85 3.407250022189375e+38
1016.35 3.810565420116646e+38
1016.85 3.991763536795322e+38
1017.35 3.688333434697295e+38
1017.85 3.799666191392121e+38
1018.35 2.6847930431465774e+38
1018.85 3.9274965451873165e+38
1019.35 3.8166375665760316e+38
1019.85 2.98212648259199e+38
1020.35 3.805317852855375e+38
1020.85 3.86220971089209e+38
1021.35 3.406204801419396e+38
1021.85 3.813076443055936e+38
1022.35 3.8335421955630805e+38
1022.85 3.1798380190783005e+38
1023.35 3.807057995100556e+38
1023.85 3.761525423071563e+38
1024.35 3.7712771182563044e+38
1024.86 3.747956309587778e+38
1025.36 1.5908124184720113e+38
1025.86 4.459163704737974e+37
1026.37 3.573707658145453e+38
1026.87 3.4952100229400236e+38
1027.37 3.67627055079346e+38
1027.88 3.754682995347053e+38
1028.38 3.674238563339515e+38
1028.89 3.6958389752271955e+38
1029.39 3.595729405044169e+38
1029.9 3.1492896183831454e+38
1030.4 3.3848260081109314e+38
1030.91 1.8260896022186598e+38
1031.41 3.239853836455016e+38
1031.92 3.598741453597305e+38
1032.42 3.6940619606706094e+38
1032.93 3.834681611875973e+38
1033.44 3.413535642513979e+38
1033.94 3.1384689484532794e+38
1034.45 3.662880417630475e+38
1034.96 3.683474292437503e+38
1035.46 2.162225984414807e+38
1035.97 3.4395025325834076e+38
1036.48 3.579318464813554e+38
1036.99 1.062663825023193e+38
1037.5 3.165917929447288e+38
1038.01 3.502306507774804e+38
1038.51 3.8682714071281714e+38
1039.02 3.791764566849712e+38
1039.53 3.6615564580489154e+38
1040.04 3.7047595684889944e+38
1040.55 3.71555987638125e+38
1041.06 3.910375135219947e+38
1041.57 3.853741178560085e+38
1042.08 3.924791520655344e+38
1042.59 3.913006672417113e+38
1043.11 3.950355358093191e+38
1043.62 3.9572185571827275e+38
1044.13 3.964549538386346e+38
1044.64 3.957469729932945e+38
1045.15 3.9332476854277196e+38
1045.67 3.955911478669812e+38
1046.18 3.9350489317616234e+38
1046.69 3.961262706162569e+38
1047.2 3.959470355592319e+38
1047.72 3.959880869399353e+38
1048.23 3.915033240798762e+38
1048.75 3.956948078832321e+38
1049.26 3.9493312412350346e+38
1049.78 3.8708678594630074e+38
1050.29 3.882052752568859e+38
1050.81 3.898127918941034e+38
1051.32 3.777192031285929e+38
1051.83 3.9316238270304534e+38
1052.35 3.887553995560289e+38
1052.87 3.868484364426505e+38
1053.38 3.921512176970129e+38
1053.9 3.92462219225702e+38
1054.42 3.92303408441147e+38
1054.93 3.924412295023765e+38
1055.45 3.2223210330721635e+38
1055.97 3.8628049512868034e+38
1056.49 3.906400405808111e+38
1057.01 3.864921518263469e+38
1057.52 3.789596165869678e+38
1058.04 3.88872042473925e+38
1058.56 3.678836420716749e+38
1059.08 3.723352451128476e+38
1059.6 3.8368758925521556e+38
1060.12 3.5930340130737625e+38
1060.64 3.8158807882488325e+38
1061.16 3.0447267183421976e+38
1061.68 2.53204708436207e+38
1062.2 3.768034862967525e+38
1062.72 9.626739004697974e+37
1063.24 3.441370100939956e+38
1063.76 3.819130239880181e+38
1064.28 3.733855807130897e+38
1064.81 3.772785717271213e+38
1065.33 3.810527312542177e+38
1065.85 3.2488377452039564e+38
1066.37 3.751809586381639e+38
1066.9 3.810352333682412e+38
1067.42 3.734202304585291e+38
1067.94 3.680192088125294e+38
1068.47 3.7528797312682185e+38
1068.99 2.5580989022398943e+38
