WAVE FLUX
1000.04 1.115696019702013e+39
1000.53 1.0662361750373342e+39
1001.02 9.678340276840347e+38
1001.51 1.1156765532352539e+39
1002.01 9.719574393631085e+38
1002.5 1.0675655621158032e+39
1002.99 1.0715237664714628e+39
1003.48 1.1112940921570362e+39
1003.97 1.1107751313494925e+39
1004.46 1.112303324840432e+39
1004.96 1.1105595201931526e+39
1005.45 1.0014720103894839e+39
1005.94 4.829984506079298e+38
1006.43 1.0937362453764659e+39
1006.93 9.926381984189495e+38
1007.42 1.098620604325495e+39
1007.92 9.858844261126807e+38
1008.41 1.0984053814522637e+39
1008.91 1.0107896951681437e+39
1009.4 1.1060056390053573e+39
1009.9 5.629572058997274e+38
1010.39 4.006007960059488e+38
1010.89 1.0933261532277675e+39
1011.38 1.0117799113350383e+39
1011.88 1.0922545667748648e+39
1012.37 8.708233685707877e+38
1012.87 8.600184726697541e+38
1013.37 1.0873401587435428e+39
1013.86 1.088256998630819e+39
1014.36 1.0929719226231265e+39
1014.86 1.0400314822964964e+39
1015.36 1.0709862862572206e+39
1015.85 1.0133739376535775e+39
1016.35 1.0190301727710722e+39
1016.85 1.0677616037617346e+39
1017.35 9.579690982396053e+38
1017.85 9.416698035458879e+38
1018.35 7.278899652740936e+38
1018.85 1.0488002066287376e+39
1019.35 1.0286076270966626e+39
1019.85 8.231266452378032e+38
1020.35 1.0118206172823077e+39
1020.85 1.0505587222327706e+39
1021.35 9.972799443123748e+38
1021.85 1.039139328544944e+39
1022.35 1.0425344691853044e+39
1022.85 8.62654730397452e+38
1023.35 1.0352697817705073e+39
1023.85 9.930017448410778e+38
1024.35 1.0119671851444372e+39
1024.86 9.929887299358184e+38
1025.36 4.069027505910447e+38
1025.86 1.6232554749068268e+38
1026.37 8.646186417315723e+38
1026.87 8.171292066540928e+38
1027.37 8.635884340188346e+38
1027.88 8.666911569505363e+38
1028.38 8.580850532273441e+38
1028.89 8.637295371275101e+38
1029.39 8.481323561098765e+38
1029.9 7.298287248426653e+38
1030.4 8.051312832491346e+38
1030.91 5.485849748976977e+38
1031.41 7.397066897305704e+38
1031.92 9.331826168786226e+38
1032.42 9.10693353540529e+38
1032.93 9.686104445146777e+38
1033.44 8.98454465131902e+38
1033.94 7.010862205099848e+38
1034.45 9.009241778386553e+38
1034.96 8.307206301946917e+38
1035.46 3.0482472417061834e+38
1035.97 8.459736394629445e+38
1036.48 8.289596946257743e+38
1036.99 3.2482537051045123e+38
1037.5 8.314313830953754e+38
1038.01 7.941505251176738e+38
1038.51 1.0855696380889937e+39
1039.02 1.0112859886492664e+39
1039.53 8.759518526703031e+38
1040.04 1.0332286126523747e+39
1040.55 1.0382036627136578e+39
1041.06 1.0674772609887539e+39
1041.57 9.871079555822272e+38
1042.08 1.0614526246198073e+39
1042.59 1.0571497758841352e+39
1043.11 1.0619983922993762e+39
1043.62 1.0550174732008954e+39
1044.13 1.0637642465807823e+39
1044.64 1.0616981737086118e+39
1045.15 1.05178432715709e+39
1045.67 1.0567779544493359e+39
1046.18 1.0487675862295194e+39
1046.69 1.0518521812063713e+39
1047.2 1.0526163498422292e+39
1047.72 1.0540153407013178e+39
1048.23 1.0546108098561358e+39
1048.75 1.0579592108923762e+39
1049.26 1.0517296026099454e+39
1049.78 1.0463348454542185e+39
1050.29 1.0500397745579915e+39
1050.81 1.0404524232075356e+39
1051.32 9.991879205493355e+38
1051.83 1.0475917475788464e+39
1052.35 1.0388871474189474e+39
1052.87 9.974580061481094e+38
1053.38 1.0386263713836689e+39
1053.9 1.0440600504687963e+39
1054.42 1.0440986970853246e+39
1054.93 1.0437250583135195e+39
1055.45 8.472314560187973e+38
1055.97 1.0110857182971773e+39
1056.49 1.0365823807262686e+39
1057.01 1.032641588981971e+39
1057.52 1.0024296139508815e+39
1058.04 1.0314295368117824e+39
1058.56 9.627536696817101e+38
1059.08 9.92591939530401e+38
1059.6 1.0221067313276675e+39
1060.12 9.363575048119648e+38
1060.64 9.82238800834195e+38
1061.16 7.996913878555637e+38
1061.68 7.179888421274853e+38
1062.2 9.658349445593305e+38
1062.72 2.60032766679986e+38
1063.24 8.91380609113112e+38
1063.76 1.0105975267250437e+39
1064.28 9.945193169178807e+38
1064.81 1.0067452721537372e+39
1065.33 1.0067797604972143e+39
1065.85 8.357171164475524e+38
1066.37 9.976634488648629e+38
1066.9 1.0078599906883009e+39
1067.42 9.844980388762762e+38
1067.94 9.545297068128017e+38
1068.47 9.969087758279243e+38
1068.99 7.233690096415998e+38
1069.52 9.40558371024105e+38
1070.04 9.718295919873065e+38
1070.56 7.771492440823273e+38
1071.09 9.923848141792469e+38
1071.61 9.987672800582683e+38
1072.14 9.567971471834616e+38
1072.67 9.593241531141701e+38
1073.19 9.64871336293595e+38
1073.72 9.38133828847548e+38
1074.24 9.518942637309697e+38
1074.77 9.788451345853947e+38
1075.3 9.474127067432034e+38
1075.82 9.940379117947737e+38
1076.35 9.893000982730372e+38
1076.88 9.931002659010718e+38
1077.41 9.940267832184536e+38
1077.94 9.231940919322523e+38
1078.47 9.878656603496465e+38
1078.99 9.712505833474232e+38
1079.52 9.338046898888895e+38
1080.05 9.764291837719149e+38
1080.58 9.752262758394049e+38
1081.11 9.629860134136157e+38
1081.64 9.61666543533463e+38
1082.17 9.687215865178872e+38
1082.7 9.567828679814329e+38
1083.23 7.892193882582161e+38
1083.77 9.2223891775131e+38
1084.3 9.335717143910851e+38
1084.83 8.090993780097007e+38
1085.36 9.218197157906261e+38
1085.89 9.179733232610933e+38
1086.43 9.300696385432395e+38
1086.96 9.49203694935331e+38
1087.49 9.557478193572742e+38
1088.02 8.623571220670175e+38
1088.56 9.148972617302491e+38
1089.09 7.68716231778831e+38
1089.63 7.064169441806139e+38
1090.16 9.239207410141377e+38
1090.69 9.382925515957635e+38
1091.23 9.415928463726622e+38
1091.77 9.507754801425798e+38
1092.3 9.278362858604731e+38
1092.84 9.505961676553849e+38
1093.37 8.824890487435976e+38
1093.91 9.750433272814729e+38
1094.44 9.740854719169001e+38
1094.98 9.758016311643131e+38
1095.52 8.06261560679767e+38
1096.06 9.460199857903074e+38
1096.59 7.002340646073122e+38
1097.13 9.674476523315124e+38
1097.67 7.224896957259288e+38
1098.21 7.699380478270787e+38
1098.74 9.632709791346034e+38
1099.28 9.633020509598375e+38
1099.82 9.450100678280444e+38
1100.36 9.620559449590112e+38
1100.9 9.613779605783977e+38
1101.44 9.391780585489494e+38
1101.98 9.534581950924655e+38
1102.52 9.574923570090662e+38
1103.06 8.880121708047537e+38
1103.6 9.417431335534879e+38
1104.15 7.933545358111781e+38
1104.69 9.386868557423662e+38
1105.23 9.463332647024041e+38
1105.77 9.442074403289475e+38
1106.31 9.43584227224704e+38
1106.85 9.278202980611275e+38
1107.4 9.258238458391541e+38
1107.94 6.793779433081852e+38
1108.48 4.8821876296473464e+38
1109.03 9.290921318721184e+38
1109.57 9.227874709658395e+38
1110.11 8.953328909563783e+38
1110.66 9.278733021913378e+38
1111.2 9.097067411489108e+38
1111.75 9.184921207838867e+38
1112.29 8.780880233667914e+38
1112.84 9.274958140857949e+38
1113.39 9.297063636448202e+38
1113.93 9.109787547320391e+38
1114.48 9.270688244747925e+38
1115.02 8.980991945911647e+38
1115.57 9.192378915085774e+38
1116.12 8.756720135594524e+38
1116.67 8.417923272009208e+38
1117.21 8.946168264247982e+38
1117.76 9.099980016799086e+38
1118.31 8.95599321870156e+38
1118.86 9.215459922033973e+38
1119.41 8.271041780231392e+38
1119.95 9.195006202053974e+38
1120.5 9.180685499364744e+38
1121.05 8.774818356959021e+38
1121.6 9.094128815482578e+38
1122.15 9.117043133151916e+38
1122.7 9.103887008581331e+38
1123.25 9.020272339129855e+38
1123.8 3.2173801831380823e+38
1124.36 8.782666213029356e+38
1124.91 5.8368561813388874e+38
1125.46 8.860159685720041e+38
1126.01 8.903362328659198e+38
1126.56 8.856181081757333e+38
1127.11 8.853579067284255e+38
1127.67 8.85406097863284e+38
1128.22 2.7446993135035318e+38
1128.77 4.980775656359162e+38
1129.33 8.902058441544175e+38
1129.88 8.496157041142437e+38
1130.44 6.235565889419543e+38
1130.99 8.960615581174145e+38
1131.54 9.06650200131821e+38
1132.1 9.111563908864648e+38
1132.65 9.060553412606423e+38
1133.21 9.057488063457622e+38
1133.77 9.073414603622943e+38
1134.32 8.591566985872953e+38
1134.88 8.517757039076949e+38
1135.43 9.067065571067252e+38
1135.99 9.083213158425905e+38
1136.55 9.059874799740547e+38
1137.1 9.040522477779923e+38
1137.66 9.030173666930647e+38
1138.22 9.009042085139778e+38
1138.78 8.945426865626766e+38
1139.34 5.740285114618036e+38
1139.9 6.3096576986602205e+38
1140.45 8.875785236901243e+38
1141.01 8.97013549953778e+38
1141.57 4.9687959521832415e+38
1142.13 8.959283154043658e+38
1142.69 8.949016391641513e+38
1143.25 8.918406955218855e+38
1143.81 8.82407537166763e+38
1144.38 6.770213371730584e+38
1144.94 5.920851392545699e+38
1145.5 8.896023198220022e+38
1146.06 8.887458666744929e+38
1146.62 8.869501724733511e+38
1147.18 8.836103463499154e+38
1147.75 8.823351490889246e+38
1148.31 8.822568361364932e+38
1148.87 8.817113381706379e+38
1149.44 8.846042749407045e+38
1150.0 8.660646438428849e+38
1150.0 8.660646438428849e+38
1150.3 8.78978938019003e+38
1150.6 8.83581493980623e+38
1150.89 8.383077218579281e+38
1151.19 8.59392533733536e+38
1151.49 8.833232654709423e+38
1151.79 8.825671236328106e+38
1152.09 8.797632272422724e+38
1152.39 8.800631732719359e+38
1152.69 8.264790975113852e+38
1152.98 8.781296010649546e+38
1153.28 8.773777376937504e+38
1153.58 8.676100765317786e+38
1153.88 8.279851494111419e+38
1154.18 8.258296870181658e+38
1154.48 8.746381524256653e+38
1154.78 8.73345984706006e+38
1155.08 8.424501683733439e+38
1155.38 8.553662262721348e+38
1155.68 8.706226442726124e+38
1155.98 6.580180431955675e+38
1156.28 8.679318574688741e+38
1156.57 8.456335010509801e+38
1156.88 8.594512228954684e+38
1157.18 8.628374987635551e+38
1157.47 8.534842546731233e+38
1157.78 8.54603202909097e+38
1158.07 6.07436642589706e+38
1158.38 8.578867393669966e+38
1158.68 8.528598101767197e+38
1158.97 8.426632843247504e+38
1159.28 8.4649225487053e+38
1159.58 8.184659824602132e+38
1159.88 8.672778646737007e+38
1160.18 8.221401805125739e+38
1160.48 8.696479337147445e+38
1160.78 8.71667890610891e+38
1161.08 8.717633578126446e+38
1161.38 8.632093912507589e+38
1161.68 8.662508744278771e+38
1161.98 8.564681139824152e+38
1162.28 8.698186103561254e+38
1162.58 8.71597900559651e+38
1162.89 8.699712236786397e+38
1163.19 6.899733779001565e+38
1163.49 8.628588627786143e+38
1163.79 7.982467848693869e+38
1164.09 8.576983513270051e+38
1164.39 8.297207593586719e+38
1164.7 8.294124799599941e+38
1165.0 6.817543431235654e+38
1165.3 8.499145113597108e+38
1165.6 7.61189097245436e+38
1165.9 6.5149315552781016e+38
1166.21 8.518014633901379e+38
1166.51 8.485074247194593e+38
1166.81 6.676715877542056e+38
1167.11 8.447537490701626e+38
1167.42 7.371715808050187e+38
1167.72 8.422010589876341e+38
1168.02 8.450900062349963e+38
1168.32 8.42713851374023e+38
1168.63 8.314928526429048e+38
1168.93 6.614783793386721e+38
1169.23 8.438257432291642e+38
1169.54 8.382838660193094e+38
1169.84 8.439139995591079e+38
1170.14 8.106721601572008e+38
1170.44 7.064839664910472e+38
1170.75 8.15418535348616e+38
1171.05 4.8300051890031224e+38
1171.35 8.405326715933419e+38
1171.66 8.148408954158222e+38
1171.96 5.983148556596533e+38
1172.27 8.371012109504568e+38
1172.57 8.201719380886834e+38
1172.87 7.765542940349903e+38
1173.18 8.316870872351215e+38
1173.48 7.572631876555179e+38
1173.79 8.218545130977193e+38
1174.09 8.02143000114248e+38
1174.4 8.170523116444755e+38
1174.7 7.834597394057136e+38
1175.0 2.7984882532704033e+38
1175.31 2.950336163476688e+38
1175.61 2.971791076321377e+38
1175.92 2.7880223738835496e+38
1176.22 4.879136783345971e+38
1176.53 6.6614832449301786e+38
1176.83 8.081419399798892e+38
1177.14 8.087709775863601e+38
1177.44 8.092677459087368e+38
1177.75 7.845851975295925e+38
1178.05 8.049274730493415e+38
1178.36 7.511982982146263e+38
1178.66 8.241783518971785e+38
1178.97 8.170695278328493e+38
1179.27 8.237882420028778e+38
1179.58 8.295897283170147e+38
1179.89 8.085765206032445e+38
1180.19 8.314720439385718e+38
1180.5 7.455647697470453e+38
1180.8 8.093043431386933e+38
1181.11 8.34314062202499e+38
1181.42 7.526052421783859e+38
1181.72 7.653387148937633e+38
1182.03 8.358364849760679e+38
1182.33 8.362338352258037e+38
1182.64 8.285244781117354e+38
1182.95 4.120433741110271e+38
1183.25 8.15716593556904e+38
1183.56 8.186096394583857e+38
1183.87 8.247539318688131e+38
1184.17 7.925208702106772e+38
1184.48 3.583589162082635e+38
1184.79 7.00334795108532e+38
1185.09 8.399471644093274e+38
1185.4 6.957759684077676e+38
1185.71 8.343665093111391e+38
1186.02 8.295723830655585e+38
1186.32 8.327228549054913e+38
1186.63 7.39380296651087e+38
1186.94 8.169495629219389e+38
1187.25 8.259858346783655e+38
1187.56 8.228864992150905e+38
1187.86 8.199663954743528e+38
1188.17 8.202445593471679e+38
1188.48 8.13711859526411e+38
1188.79 8.181593841903423e+38
1189.09 8.154061224156316e+38
1189.4 7.926495273547582e+38
1189.71 8.147388488049232e+38
1190.02 8.105795227688873e+38
1190.33 7.965495826500743e+38
1190.64 8.11614848237899e+38
1190.94 8.078410873469412e+38
1191.25 4.936090049271774e+38
1191.56 8.0757002957268e+38
1191.87 8.053919701998403e+38
1192.18 8.022955451556012e+38
1192.49 8.016991981948315e+38
1192.8 7.910401022816271e+38
1193.11 7.21299341452872e+38
1193.42 7.984404920526157e+38
1193.73 7.561005512800453e+38
1194.04 7.630386539533021e+38
1194.34 7.538107284524357e+38
1194.65 7.946561801556384e+38
1194.96 7.929142075030968e+38
1195.27 7.755559198343026e+38
1195.58 7.788969762960532e+38
1195.89 7.766348983704378e+38
1196.2 6.387983254014342e+38
1196.51 7.664090410880152e+38
1196.82 7.620043541338012e+38
1197.13 7.545261045079892e+38
1197.44 7.533400730229971e+38
1197.75 7.592378542981109e+38
1198.06 7.611576554389773e+38
1198.38 7.29495395039946e+38
1198.69 7.606051949133864e+38
1199.0 7.639694693713738e+38
1199.31 7.691352259895565e+38
1199.62 7.709556307256274e+38
1199.93 7.691765766185672e+38
1200.24 7.585648232812336e+38
1200.55 7.50756898917204e+38
1200.86 6.898996861744134e+38
1201.17 7.562798795590549e+38
1201.48 7.349184132270472e+38
1201.8 7.11323036241553e+38
1202.11 3.426600090641813e+38
1202.42 7.49255524544957e+38
1202.73 7.508902565516052e+38
1203.04 7.370771833293258e+38
1203.35 7.41804475946806e+38
1203.67 7.505456129681002e+38
1203.98 7.50902480472417e+38
1204.29 7.475839527925296e+38
1204.6 7.460816961492231e+38
1204.92 7.304558266247968e+38
1205.23 7.390100404411339e+38
1205.54 7.325659077992107e+38
1205.85 7.341470392697641e+38
1206.16 7.190173716954016e+38
1206.48 1.9048766987496614e+38
1206.79 7.276845718909911e+38
1207.1 7.224693854110687e+38
1207.42 7.099485605966163e+38
1207.73 7.294963626055073e+38
1208.04 7.208574015348516e+38
1208.35 6.958499121490262e+38
1208.67 6.952371048448457e+38
1208.98 7.332619063563554e+38
1209.29 7.21714263130719e+38
1209.61 7.234401406946236e+38
1209.92 7.255690239332993e+38
1210.23 7.233939099559931e+38
1210.55 6.69394455292026e+38
1210.86 7.189326245754623e+38
1211.18 7.033887532414069e+38
1211.49 7.109048347314762e+38
1211.8 7.052246747781751e+38
1212.12 7.054149763134898e+38
1212.43 7.134124330428659e+38
1212.75 7.080726437370113e+38
1213.06 7.016875654718015e+38
1213.38 7.115261864605217e+38
1213.69 6.446690483826965e+38
1214.0 6.714021606177738e+38
1214.32 7.096918058288476e+38
