# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.SED         Flux.SEDerr      Flux.SEDINT      Flux.SEDINTerr 
   +1.29662e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.33601e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.37660e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.41842e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.46150e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.50590e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.55165e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.59879e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.64736e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.69740e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.74896e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.80210e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.85684e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.91325e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.97137e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.03126e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.09296e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.15654e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.22206e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.28956e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.35911e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.43078e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.50462e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.58071e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.65911e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.73989e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.82312e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.90888e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.99725e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.08830e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.18212e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.27879e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.37840e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.48103e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.58677e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.69574e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.80801e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.92369e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.04288e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.16570e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.29225e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.42264e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.55699e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.69543e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.83807e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.98504e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.13648e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.29252e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.45330e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.61896e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.78966e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.96554e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.14676e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.33349e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.52590e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.72414e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.92841e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.13889e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.35576e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.57921e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.80946e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.04670e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.29115e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.54302e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.80254e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.06995e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.34548e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.62938e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.92191e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.02233e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.05339e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.08539e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.11836e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.15234e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.18734e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.22341e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
