# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum spectrum - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.OBS         Flux.ERR         Flux.SPEC  Flux.SPECerr   
   +1.20001e+03     +4.87266e-01     +2.15013e-01     +8.12987e-19     +1.27284e-20
   +1.20057e+03     +6.42415e-01     +2.14162e-01     +8.05839e-19     +1.30315e-20
   +1.20112e+03     +9.05557e-01     +2.12993e-01     +7.96286e-19     +1.39910e-20
   +1.20168e+03     +6.39393e-01     +2.10758e-01     +7.88051e-19     +1.48008e-20
   +1.20223e+03     +4.19763e-01     +2.12156e-01     +7.85752e-19     +1.43619e-20
   +1.20279e+03     +6.18582e-01     +2.13082e-01     +7.90172e-19     +1.32688e-20
   +1.20334e+03     +4.36694e-01     +2.14578e-01     +7.96145e-19     +1.30407e-20
   +1.20389e+03     +7.73410e-01     +2.14876e-01     +7.98165e-19     +1.33163e-20
   +1.20445e+03     +5.02762e-01     +2.13241e-01     +7.95315e-19     +1.34064e-20
   +1.20500e+03     +6.19501e-01     +2.10126e-01     +7.86866e-19     +1.33596e-20
   +1.20556e+03     +2.90274e-01     +2.07822e-01     +7.72086e-19     +1.35727e-20
   +1.20611e+03     +6.49215e-01     +2.04502e-01     +7.56701e-19     +1.43538e-20
   +1.20667e+03     +3.60115e-01     +2.03473e-01     +7.52135e-19     +1.48124e-20
   +1.20722e+03     +1.59461e-01     +2.01658e-01     +7.59125e-19     +1.44516e-20
   +1.20778e+03     +3.77511e-01     +2.02549e-01     +7.68535e-19     +1.40470e-20
   +1.20833e+03     +5.52933e-01     +2.08371e-01     +7.72793e-19     +1.40235e-20
   +1.20888e+03     +3.23336e-01     +2.16800e-01     +7.72089e-19     +1.42233e-20
   +1.20944e+03     +2.81909e-02     +2.89170e-01     +7.68639e-19     +1.44054e-20
   +1.20999e+03     +7.70974e-01     +4.45913e-01     +7.63013e-19     +1.44352e-20
   +1.21055e+03     +3.52661e-01     +4.97818e-01     +7.56306e-19     +1.44343e-20
   +1.21110e+03     +3.52526e-01     +4.91640e-01     +7.50682e-19     +1.45248e-20
   +1.21166e+03     -4.61404e-02     +4.80315e-01     +7.47260e-19     +1.48734e-20
   +1.21221e+03     +1.27223e-01     +3.90928e-01     +7.44607e-19     +1.54063e-20
   +1.21276e+03     +2.47784e-01     +2.30528e-01     +7.40177e-19     +1.57764e-20
   +1.21332e+03     +1.31304e-01     +1.91163e-01     +7.31783e-19     +1.58439e-20
   +1.21387e+03     +2.82098e-01     +1.89759e-01     +7.15028e-19     +1.57245e-20
   +1.21443e+03     +4.42550e-01     +1.89394e-01     +6.85484e-19     +1.56126e-20
   +1.21498e+03     +6.73816e-01     +1.89135e-01     +6.50316e-19     +1.63551e-20
   +1.21554e+03     +3.25483e+00     +1.93337e-01     +6.36508e-19     +1.78809e-20
   +1.21609e+03     +8.51301e+00     +1.98553e-01     +6.59710e-19     +1.80775e-20
   +1.21665e+03     +1.21507e+01     +2.02540e-01     +6.97355e-19     +1.69415e-20
   +1.21720e+03     +1.30681e+01     +2.05580e-01     +7.23975e-19     +1.58244e-20
   +1.21775e+03     +1.12575e+01     +2.05046e-01     +7.35264e-19     +1.51105e-20
   +1.21831e+03     +8.08053e+00     +2.01269e-01     +7.42032e-19     +1.44949e-20
   +1.21886e+03     +5.27974e+00     +1.98505e-01     +7.48767e-19     +1.39132e-20
   +1.21942e+03     +3.28117e+00     +1.96444e-01     +7.53373e-19     +1.34043e-20
   +1.21997e+03     +1.81462e+00     +1.95765e-01     +7.52811e-19     +1.29947e-20
   +1.22053e+03     +1.48774e+00     +1.94628e-01     +7.48402e-19     +1.30127e-20
   +1.22108e+03     +1.03821e+00     +1.93047e-01     +7.46063e-19     +1.34517e-20
   +1.22163e+03     +1.25433e+00     +1.90907e-01     +7.48663e-19     +1.35977e-20
   +1.22219e+03     +1.25376e+00     +1.89309e-01     +7.53063e-19     +1.33473e-20
   +1.22274e+03     +9.34748e-01     +1.87612e-01     +7.54699e-19     +1.33544e-20
   +1.22330e+03     +1.20211e+00     +1.87074e-01     +7.56332e-19     +1.35957e-20
   +1.22385e+03     +9.23042e-01     +1.86622e-01     +7.61760e-19     +1.37234e-20
   +1.22441e+03     +1.04840e+00     +1.86599e-01     +7.69419e-19     +1.45203e-20
   +1.22496e+03     +1.06238e+00     +1.88083e-01     +7.72481e-19     +1.67741e-20
   +1.22552e+03     +1.17241e+00     +1.87384e-01     +7.69646e-19     +1.98289e-20
   +1.22607e+03     +9.68628e-01     +1.87895e-01     +7.64290e-19     +2.30324e-20
   +1.22662e+03     +1.22506e+00     +1.86888e-01     +7.58817e-19     +2.58744e-20
   +1.22718e+03     +9.25689e-01     +1.86854e-01     +7.52405e-19     +2.80017e-20
   +1.22773e+03     +8.11170e-01     +1.84534e-01     +7.44040e-19     +2.95884e-20
   +1.22829e+03     +7.22891e-01     +1.85513e-01     +7.33934e-19     +3.09919e-20
   +1.22884e+03     +1.02320e+00     +1.85068e-01     +7.22749e-19     +3.26429e-20
   +1.22940e+03     +9.09949e-01     +1.84167e-01     +7.10407e-19     +3.48354e-20
   +1.22995e+03     +9.15277e-01     +1.85738e-01     +6.98958e-19     +3.72278e-20
   +1.23050e+03     +1.06932e+00     +1.85509e-01     +6.91296e-19     +3.92149e-20
   +1.23106e+03     +1.19496e+00     +1.86474e-01     +6.88057e-19     +4.03734e-20
   +1.23161e+03     +7.74594e-01     +1.87364e-01     +6.83803e-19     +4.07075e-20
   +1.23217e+03     +7.51218e-01     +1.88110e-01     +6.73308e-19     +4.00572e-20
   +1.23272e+03     +9.46049e-01     +1.88312e-01     +6.54947e-19     +3.82289e-20
   +1.23328e+03     +8.23201e-01     +1.90285e-01     +6.31469e-19     +3.55298e-20
   +1.23383e+03     +1.31643e+00     +1.91096e-01     +6.09330e-19     +3.30791e-20
   +1.23439e+03     +6.88551e-01     +1.92665e-01     +5.92486e-19     +3.13806e-20
   +1.23494e+03     +1.08879e+00     +1.94274e-01     +5.81675e-19     +3.01600e-20
   +1.23549e+03     +8.76242e-01     +1.95079e-01     +5.75695e-19     +2.89774e-20
   +1.23605e+03     +1.02090e+00     +1.96377e-01     +5.73387e-19     +2.77398e-20
   +1.23660e+03     +9.60889e-01     +1.96333e-01     +5.75327e-19     +2.65015e-20
   +1.23716e+03     +6.84051e-01     +1.96354e-01     +5.82684e-19     +2.52443e-20
   +1.23771e+03     +8.91771e-01     +1.97542e-01     +5.97011e-19     +2.39453e-20
   +1.23827e+03     +7.25693e-01     +1.98357e-01     +6.19185e-19     +2.27361e-20
   +1.23882e+03     +9.94034e-01     +2.00094e-01     +6.47423e-19     +2.16343e-20
   +1.23937e+03     +6.17010e-01     +2.00468e-01     +6.73505e-19     +2.03106e-20
   +1.23993e+03     +9.60891e-01     +2.01821e-01     +6.90579e-19     +1.85368e-20
   +1.24048e+03     +9.73652e-01     +2.02956e-01     +7.02134e-19     +1.67138e-20
   +1.24104e+03     +1.18354e+00     +2.04085e-01     +7.19422e-19     +1.52447e-20
   +1.24159e+03     +9.18301e-01     +2.06174e-01     +7.55387e-19     +1.42162e-20
   +1.24215e+03     +9.47873e-01     +2.07440e-01     +8.11054e-19     +1.47209e-20
   +1.24270e+03     +1.03031e+00     +2.07864e-01     +8.75330e-19     +1.75984e-20
   +1.24326e+03     +1.09607e+00     +2.08031e-01     +9.24672e-19     +2.11949e-20
   +1.24381e+03     +8.96215e-01     +2.06521e-01     +9.42915e-19     +2.33250e-20
   +1.24436e+03     +1.09104e+00     +2.05114e-01     +9.34190e-19     +2.34908e-20
   +1.24492e+03     +1.24667e+00     +2.03748e-01     +9.11992e-19     +2.23130e-20
   +1.24547e+03     +1.14312e+00     +2.02017e-01     +8.86111e-19     +2.04577e-20
   +1.24603e+03     +1.30361e+00     +2.01057e-01     +8.59777e-19     +1.85249e-20
   +1.24658e+03     +1.23397e+00     +1.98561e-01     +8.30410e-19     +1.68398e-20
   +1.24714e+03     +1.23153e+00     +1.96539e-01     +8.01876e-19     +1.57801e-20
   +1.24769e+03     +1.18732e+00     +1.96123e-01     +7.84834e-19     +1.44371e-20
   +1.24824e+03     +1.15518e+00     +1.95457e-01     +7.84491e-19     +1.22682e-20
   +1.24880e+03     +1.25027e+00     +1.94772e-01     +7.93072e-19     +1.06242e-20
   +1.24935e+03     +1.43589e+00     +1.93711e-01     +7.96977e-19     +1.02417e-20
   +1.24991e+03     +1.24747e+00     +1.91543e-01     +7.92384e-19     +1.01913e-20
   +1.25046e+03     +1.02263e+00     +1.90393e-01     +7.85396e-19     +1.01287e-20
   +1.25102e+03     +8.89670e-01     +1.89259e-01     +7.82773e-19     +9.95372e-21
